FID_GaragePoints_buffered,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,BUFF_DIST,FID_Structures,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
1,20200,SSG,Southside Garage,1,SSG,Garage,1,150.000000000000000,156, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.326796029663306,36.038078966827584
1,20200,SSG,Southside Garage,1,SSG,Garage,1,150.000000000000000,157, ,,No,UNIVERSITY,,,,,,,,, |  | ,43.152372507712570,106.546471645377139
1,20200,SSG,Southside Garage,1,SSG,Garage,1,150.000000000000000,316,0378,SSPG,No,GARAGE,0378,SSPG,South Side Parking Garage,1990,04,750 Bizzell St,College Station,77843,South Side Parking Garage | SSPG | 0378,553.269233016415569,14543.691412792895790
1,20200,SSG,Southside Garage,1,SSG,Garage,1,150.000000000000000,323, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.657592586517040,37.546402861319265
1,20200,SSG,Southside Garage,1,SSG,Garage,1,150.000000000000000,391,0448,ADAM,No,ACADEMIC,0448,ADAM,Adams Band Hall,1970,03,611 Lewis St,College Station,77843,Adams Band Hall | ADAM | 0448,50.530282052644637,96.258091839744154
1,20200,SSG,Southside Garage,1,SSG,Garage,1,150.000000000000000,803,0291,RUDD,No,HOUSING TAMU,0291,RUDD,Rudder Residence Hall,1989,04,770 Mosher Ln,College Station,77843,Rudder Residence Hall | RUDD | 0291,121.766299320084215,610.461213304561170
1,20200,SSG,Southside Garage,1,SSG,Garage,1,150.000000000000000,829,0292,EPPR,No,HOUSING TAMU,0292,EPPR,Eppright Residence Hall,1989,04,695 Spence St,College Station,77843,Eppright Residence Hall | EPPR | 0292,224.739731568358167,1519.106543999993619
1,20200,SSG,Southside Garage,1,SSG,Garage,1,150.000000000000000,832,0293,APPE,No,HOUSING TAMU,0293,APPE,Appelt Residence Hall,1989,04,660 Mosher Ln,College Station,77843,Appelt Residence Hall | APPE | 0293,48.077885961536012,99.797563549460961
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,105,0468,LIBR,No,LIBRARY,0468,LIBR,Evans Library,1929,07,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,597.659361350332460,6349.696040497920876
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,212,0357,,No,UNIVERSITY,0357,,Vending Machine Booth,1999,01,408 Spence St,College Station,77843,Vending Machine Booth |  | 0357,31.084954464558805,54.451907776893499
